s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
gene-HOLleu_00118	2596189	Hchr1	8	Lytvar_LOC121421274	69504892	chr1	484	R
gene-HOLleu_00615	12527974	Hchr1	29	Lytvar_LOC121417172	54720706	chr1	384	R
gene-HOLleu_04606	100403738	Hchr1	124	Lytvar_LOC121407749	17765907	chr1	90	R
gene-HOLleu_00371	7966430	Hchr1	25	Lytvar_LOC121409276	82535308	chr2	1551	R
gene-HOLleu_01062	21321248	Hchr1	31	Lytvar_LOC121408004	37085224	chr2	1050	R
gene-HOLleu_02520	51886538	Hchr1	68	Lytvar_LOC121409200	80125137	chr2	1516	R
gene-HOLleu_02685	56437130	Hchr1	81	Lytvar_LOC121407056	2445157	chr2	757	R
gene-HOLleu_04073	86010935	Hchr1	108	Lytvar_LOC121407591	22573301	chr2	933	R
gene-HOLleu_04190	89608037	Hchr1	112	Lytvar_LOC121414045	40273991	chr4	2524	R
gene-HOLleu_00018	327784	Hchr1	0	Lytvar_LOC121417080	15359865	chr6	3021	R
gene-HOLleu_00019	363110	Hchr1	1	Lytvar_LOC121417297	27415909	chr6	3068	R
gene-HOLleu_00050	859765	Hchr1	2	Lytvar_LOC121416924	6402092	chr6	2992	R
gene-HOLleu_00052	918010	Hchr1	3	Lytvar_LOC121416922	6317964	chr6	2991	R
gene-HOLleu_00075	1455355	Hchr1	4	Lytvar_LOC121417104	16891866	chr6	3023	R
gene-HOLleu_00081	1706088	Hchr1	5	Lytvar_LOC121417195	21528679	chr6	3049	R
gene-HOLleu_00082	1791488	Hchr1	6	Lytvar_LOC121417198	21642125	chr6	3050	R
gene-HOLleu_00088	1939128	Hchr1	7	Lytvar_LOC121416982	10019567	chr6	3002	R
gene-HOLleu_00143	3361075	Hchr1	9	Lytvar_LOC121417290	26948489	chr6	3067	R
gene-HOLleu_00145	3419438	Hchr1	10	Lytvar_LOC121417220	22247919	chr6	3056	R
gene-HOLleu_00148	3459203	Hchr1	11	Lytvar_LOC121417077	15301924	chr6	3020	R
