chr	median_log2	p	effsize_r	p_adj
MgM_Chr4	-0.05692357952020741	0	0.053805943990856385	0
MgM_scaf11	-0.8091554777947654	0	0.03656547482200316	0
MgM_scaf63	1.259028779478037	9.888879597337695e-22	0.03065343918743977	8.529158652703762e-20
MgM_scaf107	-2.200579176613406	0	0.026869539700491166	0
MgM_scaf53	-0.49423102518375556	5.551115123125783e-15	0.025011189797291118	3.83026943495679e-13
MgM_scaf35	-0.9225084927157079	2.2870594307278225e-14	0.02443543485430819	1.315059172668498e-12
MgM_scaf46	0.7281717550137887	5.774560934230916e-14	0.02404400162158105	2.8460336032995227e-12
MgM_scaf34	-0.5566299897496171	1.34781075189494e-13	0.023692520792362944	5.812433867546929e-12
MgM_scaf71	-0.5666016328602598	2.462474668618597e-13	0.02343424114252418	9.439486229704624e-12
MgM_scaf26	0.37188916943875777	4.326303726661737e-13	0.023184759974010215	1.492574785698299e-11
MgM_scaf152	-1.780279082014555	1.1813217071221516e-11	0.02171010031103151	3.5216135563231887e-10
MgM_scaf83	-1.8971063858284085	1.2249090630689352e-11	0.021694038933339783	3.5216135563231887e-10
MgM_scaf40	-0.6607006802023303	2.6299407096530558e-11	0.02133816513512063	6.979458037156187e-10
MgM_scaf144	1.5253501989838534	1.7858709067074568e-10	0.020414403355734804	4.400896162957661e-9
MgM_scaf32	0.37598143781975824	3.4850964020911443e-10	0.020082172522458735	8.015721724809632e-9
MgM_scaf89	0.5368604415021657	1.1635702613347486e-9	0.019474332091782093	2.5089483760030516e-8
MgM_scaf15	0.12530167185454527	5.539262006741669e-9	0.018655849180191055	1.1241443484269858e-7
MgM_scaf108	0.41859807713843167	2.0418484455132127e-8	0.017948741676699527	3.9135428539003247e-7
MgM_scaf162	-0.7802149403054737	4.2510996944855606e-8	0.01754150616097691	7.719102076829045e-7
MgM_scaf21	-0.20194431146490485	5.3034592273348835e-8	0.017418209326216513	9.148467167152674e-7
MgM_scaf17	-0.25066831812540036	1.2154541706443922e-7	0.01693930980393981	1.996817566058644e-6
MgM_scaf87	-0.7481081364961052	1.295974241255493e-7	0.01689996969266177	2.0323232419688413e-6
MgM_scaf92	0.4638092469319609	1.4065872467627893e-7	0.0168472691910513	2.109880870144184e-6
MgM_scaf96	0.2999103406312934	3.857574282423064e-7	0.01624391762944805	5.5452630309831545e-6
MgM_scaf72	0.4864351729633287	1.3409748459503245e-6	0.015468086225726665	1.8505452874114477e-5
MgM_scaf22	-0.11963971007571719	1.4870599602812007e-6	0.015408651009348732	1.9732141780654396e-5
MgM_scaf28	-0.253735408060739	2.0315298214779176e-6	0.015207730142429961	2.5958436607773394e-5
MgM_scaf20	-0.15793433409384577	3.5695296907167773e-6	0.014839089826489031	4.3981705117760293e-5
MgM_scaf64	0.34420307913267684	7.242010328726759e-6	0.014356937855950783	8.615495046243902e-5
MgM_scaf13	0.12510278263686578	9.350847128355484e-6	0.014179827284182543	1.0753474197608806e-4
MgM_scaf106	-0.5313652975605492	1.552712409402801e-5	0.013832287347746153	1.7280186491740851e-4
MgM_scaf145	0.29715782597911583	2.1690449672582984e-5	0.01359069291172265	2.3385016053253528e-4
MgM_scaf175	-1.5658089804801094	2.91519321446998e-5	0.013380285603150665	3.047701996945888e-4
MgM_scaf137	0.6981174017597452	3.739206100670763e-5	0.013194697036118391	3.685788870661181e-4
MgM_Chr21	0.021589781173355808	3.706121732688295e-5	0.013073141520544548	3.685788870661181e-4
MgM_scaf4	-0.07481656015493185	8.925576676022118e-5	0.012545456712252746	8.55367764785453e-4
MgM_scaf110	0.8525251307582319	9.266627121645978e-5	0.012509632361094987	8.640503667480709e-4
MgM_scaf169	0.29928319958722216	1.2773076116196657e-4	0.012259540950579921	0.001129925964125089
MgM_scaf237	0.4110992474515019	1.8846187621446398e-4	0.011950092304007526	0.0016254836823497518
MgM_scaf68	0.2978377845643076	3.397221645951944e-4	0.011465238935798606	0.0028586377264717576
MgM_scaf127	0.26198581860278286	3.487661392695654e-4	0.01144409535708372	0.0028648647154285727
MgM_scaf90	-0.7690376416521222	4.032174504584596e-4	0.011326092968263021	0.0032351167536783386
MgM_scaf77	0.15899403541439794	6.08052810445584e-4	0.010969377674794258	0.004767686809175602
MgM_scaf282	0.5983201283031894	6.705212981600979e-4	0.010885723615625176	0.005140663285894085
MgM_scaf98	-0.2136351680723933	7.805600739501095e-4	0.010755080169355944	0.005854200554625821
MgM_scaf57	-0.20148683057549738	8.027273745658814e-4	0.01073095838506481	0.005892360515430406
MgM_scaf99	-0.3853190372910531	9.535363490305038e-4	0.010576774608659445	0.006810719724188975
MgM_scaf239	0.33504050718104	9.67319613000753e-4	0.010560565611955917	0.006810719724188975
MgM_scaf311	-0.9407532118479929	0.0010606441872580419	0.010479545597183792	0.00731844489208049
MgM_Chr19	0.014972606615046782	0.0012317547580498606	0.010320527743856618	0.008332458657396116
MgM_scaf174	0.25984781799672524	0.0012642208470631912	0.010317339078427551	0.008387619081476942
MgM_scaf261	1.0263227663193142	0.001546904974244194	0.010131417094820305	0.010069475775740508
MgM_scaf296	1.607300301442174	0.002078575690963267	0.009853229308835825	0.013279789136709763
MgM_scaf313	-1.3549942214255395	0.002543627414048011	0.00966074239017476	0.015955481051755704
