qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_795983.3	3_5411	59.615	260	2.31e-103	310.0	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771
XP_795983.3	3_5618	51.746	315	3.5e-103	304.0	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771
XP_795983.3	3_5758	39.241	316	4.93e-55	180.0	MGLB05759	MGLB05759	OG0001771	MGLB05759	MGLB05759	OG0001771	MGLB05759	MGLB05759	OG0001771
XP_795983.3	3_5718	35.294	289	2.6600000000000003e-43	151.0	MGLB05719	MGLB05719	Unmapped	MGLB05719	MGLB05719	Unmapped	MGLB05719	MGLB05719	Unmapped
XP_795983.3	3_5572	33.716	261	1.29e-20	89.4	MGLB05573	MGLB05573	Unmapped	MGLB05573	MGLB05573	Unmapped	MGLB05573	MGLB05573	Unmapped
XP_795983.3	3_5597	34.409	186	5.38e-16	76.3	MGLB05598	MGLB05598	OG0014179	MGLB05598	MGLB05598	OG0014179	MGLB05598	MGLB05598	OG0014179
XP_795983.3	3_5533	26.549	226	5.91e-13	67.4	MGLB05534	MGLB05534	OG0013364	MGLB05534	MGLB05534	OG0013364	MGLB05534	MGLB05534	OG0013364
sp|Q25116.1|SM30_HEMPU	3_5411	63.2	250	9.68e-111	328.0	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771
sp|Q25116.1|SM30_HEMPU	3_5618	54.575	306	1.87e-102	301.0	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771
sp|Q25116.1|SM30_HEMPU	3_5758	41.528	301	3.9300000000000004e-56	182.0	MGLB05759	MGLB05759	OG0001771	MGLB05759	MGLB05759	OG0001771	MGLB05759	MGLB05759	OG0001771
sp|Q25116.1|SM30_HEMPU	3_5718	35.714	280	8.72e-43	149.0	MGLB05719	MGLB05719	Unmapped	MGLB05719	MGLB05719	Unmapped	MGLB05719	MGLB05719	Unmapped
sp|Q25116.1|SM30_HEMPU	3_5572	33.716	261	1.38e-21	91.7	MGLB05573	MGLB05573	Unmapped	MGLB05573	MGLB05573	Unmapped	MGLB05573	MGLB05573	Unmapped
sp|Q25116.1|SM30_HEMPU	3_5597	33.668	199	1.26e-18	83.2	MGLB05598	MGLB05598	OG0014179	MGLB05598	MGLB05598	OG0014179	MGLB05598	MGLB05598	OG0014179
sp|Q25116.1|SM30_HEMPU	3_5533	26.087	230	4.93e-13	67.4	MGLB05534	MGLB05534	OG0013364	MGLB05534	MGLB05534	OG0013364	MGLB05534	MGLB05534	OG0013364
XP_054774309.2	3_5411	64.751	261	1.23e-113	337.0	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771	MGLB05412	MGLB05412	OG0001771
XP_054774309.2	3_5618	54.777	314	2.52e-100	296.0	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771	MGLB05619	MGLB05619	OG0001771
