XP_054747949	XP_003726530
XP_054748077	XP_030847456
XP_054748196	XP_030831988
XP_054748248	XP_030831043
XP_054748309	XP_792799
XP_054748373	XP_003728977
XP_054748456	XP_030831013
XP_054748530	XP_030831546
XP_054748693	XP_030831773
XP_054748794	XP_789610
XP_054748888	XP_003727531
XP_054748948	XP_003723563
XP_054749018	XP_003727659
XP_054749076	XP_030848146
XP_054749128	XP_030847928
XP_054749255	XP_030847636
XP_054749382	XP_030847397
XP_054749435	XP_030847299
XP_054749500	NP_001354494
XP_054749557	XP_030847282
XP_054749656	XP_011678719
XP_054749980	XP_030855742
XP_054750127	XP_003724011
XP_054750267	XP_030828299
XP_054750359	XP_030830818
XP_054750482	XP_011678002
XP_054750538	XP_783902
XP_054750609	XP_030853913
XP_054750674	XP_782194
XP_054750829	XP_790964
XP_054750892	XP_011679085
XP_054751058	NP_999758
XP_054751144	XP_798364
XP_054751186	XP_030829107
XP_054751229	XP_030828390
XP_054751344	XP_793712
XP_054751402	XP_791518
XP_054751456	XP_030828990
XP_054751507	XP_030853843
XP_054751698	XP_784942
XP_054751762	XP_780968
XP_054751812	XP_780019
XP_054751918	XP_003725845
XP_054751960	XP_030829132
XP_054752022	XP_787078
XP_054752084	XP_030829490
XP_054752231	XP_003726650
XP_054752326	XP_782921
XP_054752468	NP_001116993
XP_054752621	XP_030830485
XP_054752964	XP_794970
XP_054753142	XP_793277
XP_054753214	XP_030851019
XP_054753275	XP_030850313
XP_054753412	XP_791345
XP_054753477	XP_030850865
XP_054753654	XP_030832791
XP_054753817	XP_030829955
XP_054753971	XP_030830475
XP_054754048	XP_030830268
XP_054754108	XP_003723955
XP_054754169	XP_030836999
XP_054754377	XP_030833118
XP_054754449	XP_011677219
XP_054754671	XP_030836258
XP_054754726	XP_030836126
XP_054754780	XP_011681936
XP_054754844	XP_030836564
XP_054754906	XP_790813
XP_054755010	XP_030836450
XP_054755130	XP_003728247
XP_054755637	XP_030829802
XP_054755780	XP_011662936
XP_054755917	XP_030836759
XP_054756002	XP_030834198
XP_054756060	XP_030836522
XP_054756132	XP_011679723
XP_054756281	XP_786436
XP_054756349	XP_783565
XP_054756411	XP_030832581
XP_054756606	XP_794542
XP_054756658	XP_030832744
XP_054756820	XP_003728514
XP_054756940	XP_011683842
XP_054757058	XP_030830357
XP_054757712	XP_003729398
XP_054757832	XP_011664248
XP_054758125	XP_030854847
XP_054758191	XP_798299
XP_054758336	XP_783742
XP_054758406	XP_003730625
XP_054758541	XP_792474
XP_054758599	XP_800108
XP_054758674	XP_003728818
XP_054758735	XP_796860
XP_054758862	XP_030855637
XP_054758916	XP_030854867
XP_054758976	XP_030854651
XP_054759046	XP_030854218
XP_054759100	XP_779985
XP_054759163	XP_011675697
XP_054759344	XP_030854252
XP_054759529	XP_011669999
XP_054759652	XP_786171
XP_054759745	XP_781811
XP_054759838	XP_030854747
XP_054759913	XP_011678745
XP_054760033	XP_030833621
XP_054760146	XP_003728855
XP_054760527	XP_030853894
XP_054760995	XP_030834693
XP_054761237	XP_030845296
XP_054761616	XP_030845340
XP_054761833	XP_030845593
XP_054761976	XP_794700
XP_054762224	XP_030845249
XP_054762357	XP_030845495
XP_054762489	XP_030840052
XP_054762601	XP_030840519
XP_054762681	XP_030855451
XP_054762888	XP_787939
XP_054762942	XP_030840263
XP_054762997	XP_030840086
XP_054763054	XP_796832
XP_054763326	XP_792239
XP_054763473	XP_001179356
XP_054763798	XP_030840672
XP_054763936	XP_003727621
XP_054764055	XP_030851531
XP_054764363	XP_030852552
XP_054764425	XP_790759
XP_054764485	XP_011669703
XP_054764886	XP_003730965
XP_054764952	XP_003729944
XP_054765329	XP_030831369
XP_054765435	XP_783115
XP_054765550	XP_030842005
XP_054765715	XP_030849849
XP_054765870	XP_030841839
XP_054765951	XP_030848667
XP_054766042	XP_799196
XP_054766348	XP_011663547
XP_054766394	XP_030842187
XP_054766460	XP_003730604
XP_054766530	XP_030841423
XP_054766598	NP_001157279
XP_054766664	XP_030841308
XP_054766741	XP_030841658
XP_054767165	XP_011662856
XP_054767378	XP_030845921
XP_054767759	XP_030846198
XP_054767953	XP_030846498
XP_054768149	XP_030843354
XP_054768270	XP_030843569
XP_054768460	XP_791089
XP_054768700	XP_011679158
XP_054768762	XP_030835184
XP_054768915	XP_030843179
XP_054769314	XP_789998
XP_054769438	XP_030854037
XP_054769631	XP_011666989
XP_054769770	XP_030833044
XP_054769866	XP_030853889
XP_054770078	XP_030840378
XP_054770152	XP_030853925
XP_054770220	XP_786278
XP_054770298	XP_796453
XP_054770468	XP_011673573
XP_054770561	XP_030831892
XP_054770657	XP_030837537
XP_054770738	XP_030837959
XP_054770938	XP_030833205
XP_054771172	XP_003729935
XP_054771276	XP_030838337
XP_054771464	XP_030837390
XP_054771629	XP_030836064
XP_054771718	XP_800444
XP_054771895	XP_030839025
XP_054772010	XP_030830921
XP_054772768	XP_030838919
XP_054772881	XP_030830083
XP_054773014	XP_796062
XP_054773113	XP_001201724
XP_054773201	XP_789095
XP_054773308	XP_011680344
XP_054773477	XP_781767
XP_054773993	XP_030835755
XP_054774240	XP_003729617
XP_054774341	XP_003726080
XP_054774443	XP_030846557
XP_054774625	XP_011679150
XP_054774828	XP_030843585
XP_054774981	XP_003726084
XP_054775158	XP_030844366
XP_054775296	XP_030848120
XP_054775638	XP_011677991
XP_063950915	XP_003728555
XP_063950947	XP_011681616
XP_063950979	XP_003723603
XP_063951011	XP_795347
XP_063951075	XP_030831536
XP_063951107	XP_030831175
XP_063951139	XP_030840537
XP_063951203	XP_030831457
XP_063951235	XP_030831271
XP_063951267	XP_030831799
XP_063951299	XP_030830714
XP_063951331	XP_003728483
XP_063951363	XP_030831949
XP_063951395	XP_030833652
XP_063951427	XP_030833858
XP_063951491	XP_030831227
XP_063951523	XP_030831745
XP_063951651	XP_003727811
XP_063951747	XP_030833538
XP_063951779	XP_030832083
XP_063952003	XP_030829039
XP_063952067	XP_030830296
XP_063952131	XP_786646
XP_063952163	XP_030829717
XP_063952195	XP_030828685
XP_063952227	XP_001176190
XP_063952259	XP_784312
XP_063952291	XP_011682150
XP_063952355	XP_011676546
XP_063952387	XP_030828396
XP_063952419	XP_030855980
XP_063952451	XP_787461
XP_063952547	XP_003728231
XP_063952611	XP_030828190
XP_063952675	XP_030856275
XP_063952707	XP_030829134
XP_063952835	XP_030855915
XP_063952899	XP_030829609
XP_063952995	XP_030828521
XP_063953027	XP_030830382
XP_063953091	XP_030829126
XP_063953123	XP_030856100
XP_063953155	XP_782060
XP_063953187	XP_030829252
XP_063953219	XP_030828572
XP_063953251	NP_999685
XP_063953283	XP_790847
XP_063953315	XP_030828813
XP_063953443	XP_011676538
XP_063953475	XP_011662350
XP_063953571	XP_030828140
XP_063953603	XP_030828434
XP_063953699	XP_030841489
XP_063953731	XP_030856003
XP_063953763	XP_030829178
XP_063953827	XP_030832850
XP_063953859	XP_030830540
XP_063953987	XP_030828051
XP_063954019	XP_030856219
XP_063954083	XP_030851091
XP_063954339	XP_030851285
XP_063954403	XP_030851165
XP_063954435	XP_030850084
XP_063954467	XP_030850761
XP_063954499	XP_011680506
XP_063954531	XP_030851333
XP_063954723	XP_030830760
XP_063954755	XP_030850468
XP_063954819	XP_030851049
XP_063954851	XP_030828505
XP_063954915	XP_030849955
XP_063955011	XP_795017
XP_063955139	XP_030836663
XP_063955171	XP_030836671
XP_063955235	XP_030836294
XP_063955267	XP_011660421
XP_063955427	XP_003729484
XP_063955683	XP_003726871
XP_063955747	XP_030833001
XP_063955907	XP_030832781
XP_063955939	XP_030832946
XP_063955971	XP_003723837
XP_063956131	XP_011677591
XP_063956163	XP_030832527
XP_063956195	XP_030832776
XP_063956227	XP_030832533
XP_063956291	XP_030833294
XP_063956323	XP_030829654
XP_063956355	XP_030836501
XP_063956643	XP_030837207
XP_063956739	XP_011672215
XP_063956803	XP_030849380
XP_063957027	XP_030850883
XP_063957219	XP_030837337
XP_063957283	XP_030848942
XP_063957315	XP_003730789
XP_063957411	XP_001199912
