s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
XP_030827818	26273	spur5_scaffold_6	0	XP_063952301	6657272	chr3	82	B2+C2
NP_001242990	113732	spur5_scaffold_6	1	XP_054752335	6544493	chr3	81	NA
XP_030828413	142088	spur5_scaffold_6	2	XP_054751755	31119891	chr3	463	NA
XP_030828274	194944	spur5_scaffold_6	3	XP_063954025	16548953	chr3	247	NA
XP_030828456	231246	spur5_scaffold_6	4	XP_054752089	16591430	chr3	248	NA
XP_798515	439407	spur5_scaffold_6	5	XP_054750146	16358079	chr3	246	NA
XP_030856375	464296	spur5_scaffold_6	6	XP_054752092	16313497	chr3	245	E
XP_011668949	503254	spur5_scaffold_6	7	XP_054750664	16256593	chr3	244	NA
XP_785354	522388	spur5_scaffold_6	8	XP_054752093	16206201	chr3	243	NA
XP_785293	526038	spur5_scaffold_6	9	XP_054752094	16188849	chr3	242	E
XP_801877	545218	spur5_scaffold_6	10	XP_063952582	16145037	chr3	241	E
XP_800070	561773	spur5_scaffold_6	11	XP_063952581	16126828	chr3	240	E
XP_030828123	575260	spur5_scaffold_6	12	XP_054752098	16081325	chr3	239	NA
XP_011668891	662547	spur5_scaffold_6	13	XP_063952578	15909680	chr3	238	NA
XP_003729503	726117	spur5_scaffold_6	14	XP_054752110	15579328	chr3	234	E
XP_001200305	742142	spur5_scaffold_6	15	XP_054752109	15594720	chr3	235	E
XP_030828209	879462	spur5_scaffold_6	16	XP_054752104	15816536	chr3	236	E
XP_003729510	899631	spur5_scaffold_6	17	XP_054750667	15853232	chr3	237	NA
XP_030828467	927876	spur5_scaffold_6	18	XP_054749852	49144661	chr3	794	NA
XP_030828010	947018	spur5_scaffold_6	19	XP_063952505	13771578	chr3	208	B2+C2
XP_030856153	1007612	spur5_scaffold_6	20	XP_054752160	13690565	chr3	207	NA
XP_781171	1027149	spur5_scaffold_6	21	XP_054751737	31703393	chr3	474	B2+C2
XP_030828884	1049664	spur5_scaffold_6	22	XP_054751738	31638498	chr3	473	NA
XP_030856412	1130428	spur5_scaffold_6	23	XP_063952481	13021079	chr3	187	NA
XP_030829248	1328608	spur5_scaffold_6	24	XP_063952484	13171510	chr3	189	NA
XP_001199540	1343059	spur5_scaffold_6	25	XP_054750685	13194260	chr3	190	NA
XP_011683765	1608383	spur5_scaffold_6	26	XP_054750684	13204992	chr3	191	NA
