qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999826.1	2_17839	81.165	807	0.0	1264	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
BAV60720.1	2_17839	82.62	748	0.0	1215	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
XP_041483779.1	2_17839	100.0	880	0.0	1823	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
XP_054772675.2	2_17839	96.705	880	0.0	1746	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
XP_072170421.1	2_17839	59.446	794	0.0	832	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
KAJ8033353.1	2_17839	44.01	768	5.24e-175	528	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
XP_071836508.1	2_17839	43.886	736	1.26e-166	505	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
XP_033645045.1	2_17839	44.048	756	7.61e-167	506	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762	Lvar_XP_041483779	Lvar_XP_041483779	OG0009762
