qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
NP_999826.1	1_8289	81.739	805	0.0	1258	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
BAV60720.1	1_8289	82.329	747	0.0	1196	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
XP_041483779.1	1_8289	96.705	880	0.0	1746	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
XP_054772675.2	1_8289	100.0	875	0.0	1813	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
XP_072170421.1	1_8289	58.403	839	0.0	825	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
KAJ8033353.1	1_8289	42.497	793	6.479999999999999e-168	509	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
XP_071836508.1	1_8289	42.784	776	3.46e-162	493	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
XP_033645045.1	1_8289	43.857	757	4.7400000000000005e-161	490	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762	XP_054772675	XP_054772675	OG0009762
