s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
spur5_scaffold_1	chr1	353	686	3	0.999999872877256	1	NS	XP_030834470	21829586	1279	XP_054748389	7067	4299	NA
spur5_scaffold_1	chr1	353	686	3	0.999999872877256	1	NS	XP_030834483	23515484	1291	XP_054759450	29321712	4783	NA
spur5_scaffold_1	chr1	353	686	3	0.999999872877256	1	NS	XP_030833875	30327245	1339	XP_063959655	43033237	5009	NA
spur5_scaffold_1	chr10	353	550	2	0.99999943733307	1	NS	XP_011674484	41293554	1409	XP_063962157	30280306	5886	NA
spur5_scaffold_1	chr10	353	550	2	0.99999943733307	1	NS	XP_011675919	45817918	1445	XP_063961463	14538654	5587	NA
spur5_scaffold_1	chr11	353	459	2	0.999992115184975	1	NS	XP_030833334	1826176	1132	XP_063962801	31938411	6499	NA
spur5_scaffold_1	chr11	353	459	2	0.999992115184975	1	NS	XP_030834399	14959153	1238	XP_063963147	27256965	6413	NA
spur5_scaffold_1	chr12	353	557	1	0.999999976159908	1	NS	XP_030834500	24497125	1299	XP_054766233	5587749	7233	NA
spur5_scaffold_1	chr13	353	399	2	0.999955317814855	1	NS	XP_030833802	27728311	1318	XP_063964322	17486079	8872	NA
spur5_scaffold_1	chr13	353	399	2	0.999955317814855	1	NS	XP_030834295	50493442	1477	XP_063964739	16583629	8857	NA
spur5_scaffold_1	chr14	353	438	1	0.999999057423622	1	NS	XP_030833570	2746418	1143	XP_063965473	20946489	9945	NA
spur5_scaffold_1	chr16	353	484	5	0.999237587813612	1	NS	XP_030833359	2863070	1144	XP_063967378	26204724	9526	NA
spur5_scaffold_1	chr16	353	484	5	0.999237587813612	1	NS	XP_011677291	10169979	1203	XP_063967623	335465	9100	NA
spur5_scaffold_1	chr16	353	484	5	0.999237587813612	1	NS	XP_030834382	11922525	1224	XP_063967726	25307147	9516	NA
spur5_scaffold_1	chr16	353	484	5	0.999237587813612	1	NS	XP_030834407	15952459	1240	XP_063967021	21748238	9452	NA
spur5_scaffold_1	chr16	353	484	5	0.999237587813612	1	NS	XP_030834672	43419692	1424	XP_054759272	5768150	9166	NA
spur5_scaffold_1	chr17	353	435	2	0.999984205784826	1	NS	XP_030834613	36878655	1381	XP_063968359	27302858	8078	NA
spur5_scaffold_1	chr17	353	435	2	0.999984205784826	1	NS	XP_030834785	51462457	1478	XP_063968238	5743644	7772	NA
spur5_scaffold_1	chr18	353	386	2	0.99993500492272	1	NS	XP_011679011	33308127	1364	XP_054774036	20868574	11030	NA
spur5_scaffold_1	chr18	353	386	2	0.99993500492272	1	NS	XP_794602	39184503	1390	XP_063969506	17462761	10966	NA
spur5_scaffold_1	chr2	353	1249	3	0.999999999999978	1	NS	XP_030834514	26614552	1305	XP_063951554	67892480	2512	NA
spur5_scaffold_1	chr2	353	1249	3	0.999999999999978	1	NS	XP_030834551	32045347	1351	XP_063951801	68001197	2515	NA
spur5_scaffold_1	chr2	353	1249	3	0.999999999999978	1	NS	XP_011680065	46137236	1452	XP_063951710	40457400	2073	NA
spur5_scaffold_1	chr3	353	1129	1	0.999999999999999	1	NS	XP_011677562	36686867	1380	XP_063952169	78021709	1173	NA
spur5_scaffold_1	chr4	353	499	1	0.999999857569271	1	NS	XP_011662356	24363537	1297	XP_063955012	14439505	6841	NA
spur5_scaffold_1	chr5	353	843	3	0.999999998352087	1	NS	XP_030834462	21314018	1277	XP_054755301	54049254	3383	NA
spur5_scaffold_1	chr5	353	843	3	0.999999998352087	1	NS	XP_030834198	46048600	1451	XP_054756002	40000697	3189	NA
spur5_scaffold_1	chr5	353	843	3	0.999999998352087	1	NS	XP_001178960	49061665	1468	XP_063955412	14487632	2803	NA
spur5_scaffold_1	chr6	353	296	3	0.995405609211953	1	NS	XP_003730717	7742491	1181	XP_063957318	23836823	10353	NA
spur5_scaffold_1	chr6	353	296	3	0.995405609211953	1	NS	XP_030834820	10392045	1205	XP_063956973	11917438	10180	NA
spur5_scaffold_1	chr6	353	296	3	0.995405609211953	1	NS	XP_011672215	27743644	1319	XP_063956739	1774175	10077	NA
spur5_scaffold_1	chr7	353	878	2	0.999999999957907	1	NS	XP_030833518	10604402	1210	XP_063957562	35786197	4051	NA
spur5_scaffold_1	chr7	353	878	2	0.999999999957907	1	NS	XP_030834391	13233275	1232	XP_063957603	48711593	4274	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833132	449817	1125	XP_063959719	15861691	5206	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833245	1025062	1126	XP_063960306	35377501	5354	A2
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833325	1355987	1127	XP_063959745	17434674	5216	A2
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833365	1366962	1128	XP_063960222	19576874	5240	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833418	1578808	1129	XP_063959797	19646738	5241	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_011660676	1726405	1130	XP_063959802	19696303	5242	A2
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_011660675	1737195	1131	XP_063959803	19712650	5243	A2
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833335	1865032	1133	XP_054760059	19874847	5244	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833454	1928417	1134	XP_063959795	19567291	5239	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_001201295	2143962	1135	XP_054760524	20067781	5246	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833341	2164943	1136	XP_063959809	20098497	5247	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_003726642	2317390	1137	XP_063960061	35702713	5357	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_011676459	2472114	1138	XP_063960278	31471678	5324	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833352	2589454	1139	XP_063959755	17979077	5219	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_003728319	2606406	1140	XP_063959764	18037744	5220	NA
spur5_scaffold_1	chr8	353	351	315	0	0	S	XP_030833353	2624494	1141	XP_054760079	18048751	5221	NA
