qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_072176746.1	4_19257	82.878	1244	0.0	2233.0	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363
XP_072176746.1	4_19257	74.725	910	0.0	1434.0	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363
XP_072176746.1	4_25824	30.272	773	5.35e-85	308.0	PL35118	PL35118	OG0000867	PL35118	PL35118	OG0000867	PL35118	PL35118	OG0000867
XP_072176746.1	4_25295	26.398	1091	1.2399999999999999e-84	309.0	PL34449	PL34449	OG0000867	PL34449	PL34449	OG0000867	PL34449	PL34449	OG0000867
XP_072176746.1	4_12663	25.676	1110	1.38e-82	304.0	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867
XP_072176746.1	4_12663	25.8	500	5.9e-25	114.0	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867
XP_072176746.1	4_25181	27.429	525	6.4e-31	133.0	PL34296	PL34296	OG0000867	PL34296	PL34296	OG0000867	PL34296	PL34296	OG0000867
XP_072176746.1	4_7284	28.226	372	1.12e-25	113.0	PL09602	PL09602	OG0010866	PL09602	PL09602	OG0010866	PL09602	PL09602	OG0010866
XP_072176746.1	4_7764	26.316	304	3.61e-17	85.5	PL10208	PL10208	OG0001868	PL10208	PL10208	OG0001868	PL10208	PL10208	OG0001868
XP_072176746.1	4_13528	24.863	366	1.87e-16	83.6	PL17990	PL17990	OG0006481	PL17990	PL17990	OG0006481	PL17990	PL17990	OG0006481
XP_072176746.1	4_12769	25.633	316	1.11e-14	78.6	PL16922	PL16922	OG0005468	PL16922	PL16922	OG0005468	PL16922	PL16922	OG0005468
XP_072176746.1	4_29269	26.061	330	2.62e-12	70.9	PL39882	PL39882	OG0001492	PL39882	PL39882	OG0001492	PL39882	PL39882	OG0001492
XP_072176746.1	4_17826	26.577	222	2.81e-12	70.1	PL24251	PL24251	OG0001943	PL24251	PL24251	OG0001943	PL24251	PL24251	OG0001943
XP_071510693.1	4_19257	82.878	1244	0.0	2232.0	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363
XP_071510693.1	4_19257	74.505	910	0.0	1428.0	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363	PL26164	PL26164	OG0011363
XP_071510693.1	4_25824	30.142	773	1.83e-83	303.0	PL35118	PL35118	OG0000867	PL35118	PL35118	OG0000867	PL35118	PL35118	OG0000867
XP_071510693.1	4_25295	26.606	1090	2.37e-83	305.0	PL34449	PL34449	OG0000867	PL34449	PL34449	OG0000867	PL34449	PL34449	OG0000867
XP_071510693.1	4_12663	30.418	766	2.13e-81	300.0	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867
XP_071510693.1	4_12663	25.636	511	2.72e-25	115.0	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867	PL16778	PL16778	OG0000867
XP_071510693.1	4_25181	27.619	525	1.77e-31	135.0	PL34296	PL34296	OG0000867	PL34296	PL34296	OG0000867	PL34296	PL34296	OG0000867
