qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_030845154.1	1_5085	95.215	209	1.8200000000000002e-144	411.0	XP_054761558	XP_054761558	OG0002980	XP_054761558	XP_054761558	OG0002980	XP_054761558	XP_054761558	OG0002980
XP_030845154.1	1_4044	68.702	131	3.05e-57	188.0	XP_054757900	XP_054757900	OG0001008	XP_054757900	XP_054757900	OG0001008	XP_054757900	XP_054757900	OG0001008
XP_030845154.1	1_27724	73.171	123	4.26e-57	197.0	XP_063969647	XP_063969647	OG0000968	XP_063969647	XP_063969647	OG0000968	XP_063969647	XP_063969647	OG0000968
XP_030845154.1	1_27723	73.171	123	4.26e-57	197.0	XP_063969646	XP_063969646	OG0000968	XP_063969646	XP_063969646	OG0000968	XP_063969646	XP_063969646	OG0000968
XP_030845154.1	1_27722	73.171	123	4.26e-57	197.0	XP_063969645	XP_063969645	OG0000968	XP_063969645	XP_063969645	OG0000968	XP_063969645	XP_063969645	OG0000968
XP_030845154.1	1_27721	73.171	123	6.580000000000001e-57	197.0	XP_063969644	XP_063969644	OG0000968	XP_063969644	XP_063969644	OG0000968	XP_063969644	XP_063969644	OG0000968
XP_030845154.1	1_27720	73.171	123	6.580000000000001e-57	197.0	XP_063969643	XP_063969643	OG0000968	XP_063969643	XP_063969643	OG0000968	XP_063969643	XP_063969643	OG0000968
XP_030845154.1	1_27719	73.171	123	6.580000000000001e-57	197.0	XP_063969642	XP_063969642	OG0000968	XP_063969642	XP_063969642	OG0000968	XP_063969642	XP_063969642	OG0000968
XP_030845154.1	1_8544	73.171	123	6.580000000000001e-57	197.0	XP_054773667	XP_054773667	OG0000968	XP_054773667	XP_054773667	OG0000968	XP_054773667	XP_054773667	OG0000968
XP_030845154.1	1_27718	73.171	123	2.0100000000000002e-56	196.0	XP_063969641	XP_063969641	OG0000968	XP_063969641	XP_063969641	OG0000968	XP_063969641	XP_063969641	OG0000968
XP_030845154.1	1_27717	73.171	123	2.0100000000000002e-56	196.0	XP_063969640	XP_063969640	OG0000968	XP_063969640	XP_063969640	OG0000968	XP_063969640	XP_063969640	OG0000968
XP_030845154.1	1_27716	73.171	123	2.0100000000000002e-56	196.0	XP_063969639	XP_063969639	OG0000968	XP_063969639	XP_063969639	OG0000968	XP_063969639	XP_063969639	OG0000968
XP_030845154.1	1_8543	73.171	123	2.0100000000000002e-56	196.0	XP_054773665	XP_054773665	OG0000968	XP_054773665	XP_054773665	OG0000968	XP_054773665	XP_054773665	OG0000968
XP_030845154.1	1_27715	73.171	123	2.9000000000000004e-56	196.0	XP_063969638	XP_063969638	OG0000968	XP_063969638	XP_063969638	OG0000968	XP_063969638	XP_063969638	OG0000968
XP_030845154.1	1_8542	73.171	123	2.9000000000000004e-56	196.0	XP_054773663	XP_054773663	OG0000968	XP_054773663	XP_054773663	OG0000968	XP_054773663	XP_054773663	OG0000968
XP_030845154.1	1_8541	73.171	123	2.9000000000000004e-56	196.0	XP_054773662	XP_054773662	OG0000968	XP_054773662	XP_054773662	OG0000968	XP_054773662	XP_054773662	OG0000968
XP_030845154.1	1_278	70.0	130	8.47e-56	191.0	XP_054748564	XP_054748564	OG0001008	XP_054748564	XP_054748564	OG0001008	XP_054748564	XP_054748564	OG0001008
