s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
scaffold_1	Scaffold_1721	951	560	2	1	1	NS	MGLB16451	24098990	1643	PL03512	29099761	5168	NA
scaffold_1	Scaffold_1721	951	560	2	1	1	NS	MGLB17272	54193708	2146	PL03682	4215526	4857	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16045	66233	1280	PL08637	65113406	1107	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16240	276419	1281	PL11290	50248915	833	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17237	470299	1283	PL09464	77336475	1315	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16203	607640	1284	PL10528	77351561	1316	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16380	765920	1285	PL10179	77397961	1317	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17306	892857	1286	PL10762	77489919	1318	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16197	939955	1287	PL10329	77519272	1319	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16610	1108844	1288	PL11063	20390038	345	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17268	1133851	1289	PL10919	77802846	1322	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16292	1187282	1290	PL11061	77784645	1321	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17033	1240508	1291	PL08704	28290868	493	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17275	1404466	1292	PL09624	63671346	1081	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16924	1421983	1293	PL09987	63635932	1080	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17312	1462418	1294	PL11037	64072886	1086	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17314	1508523	1295	PL11196	64128237	1088	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16206	1549928	1296	PL09486	64145238	1089	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16868	1565688	1297	PL08927	64197382	1090	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16313	1610852	1298	PL10798	64240539	1091	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17027	1667452	1299	PL10542	64273599	1092	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17175	1724138	1300	PL09223	64292160	1093	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16935	1780692	1301	PL10018	64619434	1101	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17081	1993975	1302	PL08739	64751811	1102	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16262	2051929	1303	PL10059	64790764	1103	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16527	2243780	1304	PL08133	64900581	1104	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17060	2544481	1305	PL11328	64477827	1100	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16904	2608034	1307	PL09311	64405696	1099	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16417	2665171	1309	PL10959	64391838	1098	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16746	2694700	1310	PL08635	64376687	1097	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16654	2710698	1311	PL10438	64363868	1096	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16495	2726805	1312	PL08462	64307877	1095	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16413	2846640	1313	PL09354	64300517	1094	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16464	2976059	1314	PL10087	50216534	831	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16143	3012993	1315	PL10134	50133754	828	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17187	3069108	1316	PL11241	50174325	829	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17030	3090238	1317	PL08824	50188284	830	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16467	3189673	1318	PL10303	50089574	827	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16475	3217056	1319	PL08020	50027394	825	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16971	3227246	1320	PL09210	50022600	824	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16526	3253209	1321	PL09312	50000816	823	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16601	3298437	1322	PL10688	78119906	1327	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16160	3316981	1323	PL09922	78146859	1328	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16944	3358960	1324	PL10462	78185575	1330	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16496	3391165	1325	PL09416	78166069	1329	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16909	3462330	1327	PL08056	78229874	1331	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16995	3488253	1328	PL09882	78248381	1332	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17201	3531048	1329	PL08562	78275592	1333	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16712	3563128	1330	PL08406	78326920	1334	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17221	3680177	1331	PL10994	54624338	918	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16659	3714423	1332	PL11347	78404679	1335	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16978	3747788	1333	PL08303	62341695	1058	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16410	3812111	1334	PL09362	62368227	1059	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16572	3844377	1335	PL09117	65492992	1112	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16656	3870535	1336	PL08616	62501645	1060	NA
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16265	3881501	1337	PL09522	62519626	1061	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16225	3958283	1338	PL09687	18163027	292	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16781	3974881	1339	PL10677	18173630	293	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17130	4042506	1340	PL08062	18249541	294	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB16136	4168182	1341	PL09840	18333098	295	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17167	4189471	1342	PL10275	67667654	1163	A1
scaffold_1	Scaffold_174	951	1238	917	0	0	S	MGLB17215	4216158	1343	PL10077	67681406	1164	A1
