s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
XP_011674799	37089697	spur5_scaffold_6	695	XP_041459631	30980370	chr1	343	NA
XP_030855881	43059230	spur5_scaffold_6	825	XP_041477275	82838337	chr1	1107	NA
XP_030828095	47031486	spur5_scaffold_6	875	XP_041485956	87882097	chr1	1181	NA
XP_030828997	13297584	spur5_scaffold_6	277	XP_041453738	68093936	chr2	2277	NA
XP_030828317	41963019	spur5_scaffold_6	795	XP_041454503	17810914	chr2	1561	NA
XP_030827818	26273	spur5_scaffold_6	0	XP_041460979	68639806	chr3	3843	B2+C2
NP_001242990	113732	spur5_scaffold_6	1	XP_041460556	68582934	chr3	3842	NA
XP_030828413	142088	spur5_scaffold_6	2	XP_041459398	40327027	chr3	3379	NA
XP_030828456	231246	spur5_scaffold_6	3	XP_041460997	75063619	chr3	3941	NA
XP_011670249	396345	spur5_scaffold_6	4	XP_041460773	74960825	chr3	3940	NA
XP_798515	439407	spur5_scaffold_6	5	XP_041460767	74592531	chr3	3937	NA
XP_030856375	464296	spur5_scaffold_6	6	XP_041460769	74703061	chr3	3939	E
XP_011668949	503254	spur5_scaffold_6	7	XP_041461090	61767490	chr3	3723	NA
XP_785354	522388	spur5_scaffold_6	8	XP_041461091	61803894	chr3	3724	NA
XP_785293	526038	spur5_scaffold_6	9	XP_041460303	61824855	chr3	3725	E
XP_801877	545218	spur5_scaffold_6	10	XP_041460305	61862189	chr3	3726	E
XP_800070	561773	spur5_scaffold_6	11	XP_041460306	61877186	chr3	3727	E
XP_030828123	575260	spur5_scaffold_6	12	XP_041460307	61896677	chr3	3728	NA
XP_011668891	662547	spur5_scaffold_6	13	XP_041461092	62045732	chr3	3729	NA
XP_003729503	726117	spur5_scaffold_6	14	XP_041460325	62369628	chr3	3733	E
XP_001200305	742142	spur5_scaffold_6	15	XP_041460323	62357563	chr3	3732	E
XP_003729504	749690	spur5_scaffold_6	16	XP_041461093	62346258	chr3	3731	NA
XP_030828209	879462	spur5_scaffold_6	17	XP_041460311	62149382	chr3	3730	E
XP_030828467	927876	spur5_scaffold_6	18	XP_041459068	33307066	chr3	3275	NA
XP_030828010	947018	spur5_scaffold_6	19	XP_041460395	64060671	chr3	3759	B2+C2
