qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	extra3	extra4	extra5	gene_id_raw	gene_id_norm	orthogroup
qseqid	sseqid	pident	length	evalue	bitscore	extra0	extra1	extra2	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped
qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped	Unmapped
XP_030835800.1	1_27511	67.586	580	0.0	816.0	XP_063969434	XP_063969434	OG0011980	XP_063969434	XP_063969434	OG0011980	XP_063969434	XP_063969434	OG0011980
XP_030835800.1	1_764	34.783	299	1.65e-48	176.0	XP_054749643	XP_054749643	OG0003892	XP_054749643	XP_054749643	OG0003892	XP_054749643	XP_054749643	OG0003892
XP_030835800.1	1_5529	32.781	302	5.4799999999999996e-45	166.0	XP_054762981	XP_054762981	OG0003892	XP_054762981	XP_054762981	OG0003892	XP_054762981	XP_054762981	OG0003892
XP_030835800.1	1_4791	30.389	283	1.1e-43	162.0	XP_054759895	XP_054759895	OG0011255	XP_054759895	XP_054759895	OG0011255	XP_054759895	XP_054759895	OG0011255
XP_030835800.1	1_8474	29.102	323	2.18e-33	131.0	XP_054773291	XP_054773291	OG0012627	XP_054773291	XP_054773291	OG0012627	XP_054773291	XP_054773291	OG0012627
XP_030835800.1	1_15567	27.797	295	7.900000000000001e-32	129.0	XP_063957490	XP_063957490	OG0013423	XP_063957490	XP_063957490	OG0013423	XP_063957490	XP_063957490	OG0013423
XP_030835800.1	1_27410	28.302	265	1.16e-31	127.0	XP_063969333	XP_063969333	OG0002685	XP_063969333	XP_063969333	OG0002685	XP_063969333	XP_063969333	OG0002685
XP_030835800.1	1_492	27.018	285	2.0099999999999997e-30	126.0	XP_054749091	XP_054749091	OG0011405	XP_054749091	XP_054749091	OG0011405	XP_054749091	XP_054749091	OG0011405
XP_030835800.1	1_5740	23.099	355	1.99e-26	113.0	XP_054763691	XP_054763691	OG0009232	XP_054763691	XP_054763691	OG0009232	XP_054763691	XP_054763691	OG0009232
XP_030835800.1	1_13576	25.081	307	2.62e-25	108.0	XP_063955499	XP_063955499	OG0002936	XP_063955499	XP_063955499	OG0002936	XP_063955499	XP_063955499	OG0002936
XP_030835800.1	1_3377	26.901	342	1.7199999999999998e-23	103.0	XP_054755701	XP_054755701	OG0002936	XP_054755701	XP_054755701	OG0002936	XP_054755701	XP_054755701	OG0002936
XP_030835800.1	1_4924	27.219	338	2.42e-22	99.8	XP_054760401	XP_054760401	OG0005714	XP_054760401	XP_054760401	OG0005714	XP_054760401	XP_054760401	OG0005714
XP_030835800.1	1_12061	23.67	376	5.9e-22	99.0	XP_063953984	XP_063953984	OG0012136	XP_063953984	XP_063953984	OG0012136	XP_063953984	XP_063953984	OG0012136
XP_030835800.1	1_13742	26.598	391	1.98e-21	97.4	XP_063955665	XP_063955665	OG0009522	XP_063955665	XP_063955665	OG0009522	XP_063955665	XP_063955665	OG0009522
XP_030835800.1	1_12598	25.688	327	1.24e-20	95.1	XP_063954521	XP_063954521	OG0007698	XP_063954521	XP_063954521	OG0007698	XP_063954521	XP_063954521	OG0007698
XP_030835800.1	1_25467	22.186	311	4.34e-20	94.4	XP_063967390	XP_063967390	OG0009828	XP_063967390	XP_063967390	OG0009828	XP_063967390	XP_063967390	OG0009828
XP_030835800.1	1_25006	25.826	333	5.63e-20	93.2	XP_063966929	XP_063966929	OG0002543	XP_063966929	XP_063966929	OG0002543	XP_063966929	XP_063966929	OG0002543
