s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
Hchr1	chr1	126	728	3	0.99973912557983	1	NS	gene-HOLleu_00118	2596189	8	Lytvar_LOC121421274	69504892	484	R
Hchr1	chr1	126	728	3	0.99973912557983	1	NS	gene-HOLleu_00615	12527974	29	Lytvar_LOC121417172	54720706	384	R
Hchr1	chr1	126	728	3	0.99973912557983	1	NS	gene-HOLleu_04606	100403738	124	Lytvar_LOC121407749	17765907	90	R
Hchr1	chr10	126	391	1	0.99918406337184	1	NS	gene-HOLleu_03245	67355847	92	Lytvar_LOC121423015	9333910	4115	R
Hchr1	chr17	126	208	1	0.978351591967154	1	NS	gene-HOLleu_01873	36222798	50	Lytvar_LOC121430981	16710981	6232	R
Hchr1	chr2	126	850	5	0.998932858388477	1	NS	gene-HOLleu_00371	7966430	25	Lytvar_LOC121409276	82535308	1551	R
Hchr1	chr2	126	850	5	0.998932858388477	1	NS	gene-HOLleu_01062	21321248	31	Lytvar_LOC121408004	37085224	1050	R
Hchr1	chr2	126	850	5	0.998932858388477	1	NS	gene-HOLleu_02520	51886538	68	Lytvar_LOC121409200	80125137	1516	R
Hchr1	chr2	126	850	5	0.998932858388477	1	NS	gene-HOLleu_02685	56437130	81	Lytvar_LOC121407056	2445157	757	R
Hchr1	chr2	126	850	5	0.998932858388477	1	NS	gene-HOLleu_04073	86010935	108	Lytvar_LOC121407591	22573301	933	R
Hchr1	chr4	126	280	1	0.994100354674612	1	NS	gene-HOLleu_04190	89608037	112	Lytvar_LOC121414045	40273991	2524	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00018	327784	0	Lytvar_LOC121417080	15359865	3021	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00019	363110	1	Lytvar_LOC121417297	27415909	3068	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00050	859765	2	Lytvar_LOC121416924	6402092	2992	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00052	918010	3	Lytvar_LOC121416922	6317964	2991	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00075	1455355	4	Lytvar_LOC121417104	16891866	3023	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00081	1706088	5	Lytvar_LOC121417195	21528679	3049	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00082	1791488	6	Lytvar_LOC121417198	21642125	3050	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00088	1939128	7	Lytvar_LOC121416982	10019567	3002	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00143	3361075	9	Lytvar_LOC121417290	26948489	3067	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00145	3419438	10	Lytvar_LOC121417220	22247919	3056	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00148	3459203	11	Lytvar_LOC121417077	15301924	3020	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00230	4482816	12	Lytvar_LOC121417086	15552711	3022	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00256	5096516	13	Lytvar_LOC121416814	1974537	2979	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00257	5118789	14	Lytvar_LOC121417073	15083118	3018	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00275	5359633	15	Lytvar_LOC121417132	18477438	3032	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00276	5391514	16	Lytvar_LOC121417345	30196511	3073	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00278	5469723	17	Lytvar_LOC121416858	3615090	2981	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00280	5500523	18	Lytvar_LOC121416973	8917670	3000	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00281	5585741	19	Lytvar_LOC121416581	26595603	3065	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00284	5659342	20	Lytvar_LOC121417059	14644407	3016	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00286	5695965	21	Lytvar_LOC121417058	14629064	3015	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00287	5711542	22	Lytvar_LOC121417057	14622650	3014	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00318	6566979	23	Lytvar_LOC121417488	40662973	3084	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00319	6627615	24	Lytvar_LOC121417542	46205643	3094	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00376	8083647	26	Lytvar_LOC121417011	12123141	3010	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00379	8177346	27	Lytvar_LOC121417405	35076440	3078	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00511	10493162	28	Lytvar_LOC121417552	46704619	3095	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_00845	16388746	30	Lytvar_LOC121416919	6242012	2990	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01330	25382061	32	Lytvar_LOC121417006	11820260	3008	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01377	26542509	33	Lytvar_LOC121417315	28040456	3069	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01382	26790069	34	Lytvar_LOC121417191	21406230	3047	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01383	26853386	35	Lytvar_LOC121416925	6451233	2993	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01384	26878163	36	Lytvar_LOC121417387	32411893	3076	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01385	26908821	37	Lytvar_LOC121417535	45947990	3091	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01387	26926696	38	Lytvar_LOC121416509	11318678	3005	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01400	27363234	39	Lytvar_LOC121416954	8110975	2996	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01401	27415969	40	Lytvar_LOC121416462	4294478	2987	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01403	27449440	41	Lytvar_LOC121417288	26768708	3066	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01404	27531911	42	Lytvar_LOC121416967	8719675	2998	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01405	27561574	43	Lytvar_LOC121416968	8740476	2999	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01406	27586793	44	Lytvar_LOC121417179	21140301	3044	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01437	28205230	45	Lytvar_LOC121417261	25552535	3061	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01455	28540099	46	Lytvar_LOC121417177	21091684	3043	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01693	32456572	47	Lytvar_LOC121417042	13680792	3013	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01694	32480582	48	Lytvar_LOC121417008	11945325	3009	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_01756	33930365	49	Lytvar_LOC121416938	7346746	2994	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02011	38926416	51	Lytvar_LOC121417266	25665382	3062	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02013	38998121	52	Lytvar_LOC121416582	28253927	3070	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02015	39038566	53	Lytvar_LOC121417074	15124167	3019	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02017	39083321	54	Lytvar_LOC121417495	40945476	3086	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02021	39157156	55	Lytvar_LOC121416979	9194034	3001	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02075	40413071	56	Lytvar_LOC121416595	30275643	3074	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02077	40439908	57	Lytvar_LOC121417124	18301629	3029	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02165	42184059	58	Lytvar_LOC121417536	45997079	3092	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02194	42871942	59	Lytvar_LOC121416871	4022879	2984	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02242	43864049	60	Lytvar_LOC121416508	11283321	3004	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02243	43927051	61	Lytvar_LOC121417161	19939938	3039	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02253	44178572	62	Lytvar_LOC121416461	4061912	2985	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02477	50596048	63	Lytvar_LOC121417541	46155544	3093	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02478	50697664	64	Lytvar_LOC121417222	22314449	3058	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02479	50755263	65	Lytvar_LOC121417221	22282650	3057	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02483	50956008	66	Lytvar_LOC121417001	11443741	3007	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02516	51754662	67	Lytvar_LOC121417173	20955370	3041	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02522	51953616	69	Lytvar_LOC121417122	18236046	3027	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02553	52735947	70	Lytvar_LOC121417270	26008484	3063	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02557	52922552	71	Lytvar_LOC121416591	29585303	3071	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02577	53293113	72	Lytvar_LOC121417565	46924400	3097	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02605	53951114	73	Lytvar_LOC121417341	29823849	3072	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02611	54148118	74	Lytvar_LOC121417219	22222706	3055	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02619	54378961	75	Lytvar_LOC121416831	11073934	3003	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02626	54688390	76	Lytvar_LOC121417489	40741932	3085	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02652	55389856	77	Lytvar_LOC121416891	4793974	2989	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02653	55457637	78	Lytvar_LOC121416890	4738051	2988	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02655	55579011	79	Lytvar_LOC121417066	14896754	3017	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02660	55749989	80	Lytvar_LOC121416859	3652230	2982	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02688	56590320	82	Lytvar_LOC121417200	21692592	3051	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02690	56612706	83	Lytvar_LOC121417203	21710135	3052	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02691	56625061	84	Lytvar_LOC121417202	21721276	3053	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02695	56727282	85	Lytvar_LOC121417487	40643906	3083	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02697	56763889	86	Lytvar_LOC121416549	18225462	3026	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02730	57702758	87	Lytvar_LOC121417555	46754064	3096	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02848	60586032	88	Lytvar_LOC121417194	21518459	3048	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02852	60841452	89	Lytvar_LOC121417612	18257212	3028	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02911	62246762	90	Lytvar_LOC121417020	12542894	3011	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_02914	62334597	91	Lytvar_LOC121417476	40071386	3082	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03460	70594411	93	Lytvar_LOC121417445	38468790	3080	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03542	72570792	94	Lytvar_LOC121417135	18772956	3034	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03560	73030059	95	Lytvar_LOC121417023	12727972	3012	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03564	73114950	96	Lytvar_LOC121417566	46958737	3098	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03570	73307428	97	Lytvar_LOC121417134	18705890	3033	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03636	75610909	98	Lytvar_LOC121417111	17372953	3025	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03749	78532043	99	Lytvar_LOC121417107	17270569	3024	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03814	80093163	100	Lytvar_LOC121417380	32060443	3075	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_03816	80197944	101	Lytvar_LOC121417531	45909004	3089	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04007	84395417	102	Lytvar_LOC121417144	19230122	3036	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04009	84425302	103	Lytvar_LOC121417218	22160715	3054	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04010	84443208	104	Lytvar_LOC121417146	19258245	3038	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04011	84476812	105	Lytvar_LOC121416999	11416950	3006	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04025	84928730	106	Lytvar_LOC121417272	26062603	3064	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04071	85974427	107	Lytvar_LOC121417404	34981474	3077	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04116	87032148	109	Lytvar_LOC121417237	23141844	3060	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04156	88549208	110	Lytvar_LOC121417532	45928885	3090	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04189	89478849	111	Lytvar_LOC121417171	20854318	3040	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04199	89796168	113	Lytvar_LOC121417423	37340925	3079	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04333	93280761	114	Lytvar_LOC121417453	38895256	3081	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04378	94220187	115	Lytvar_LOC121417187	21300850	3045	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04460	96344296	116	Lytvar_LOC121417185	21313723	3046	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04472	96668655	117	Lytvar_LOC121417234	23101960	3059	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04476	96805637	118	Lytvar_LOC121416660	42278901	3088	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04479	96855006	119	Lytvar_LOC121416941	7441910	2995	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04525	97969947	120	Lytvar_LOC121417853	42171796	3087	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04552	98898280	121	Lytvar_LOC121417175	21002896	3042	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04561	99230346	122	Lytvar_LOC121416964	8577273	2997	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04578	99699922	123	Lytvar_LOC121416740	4106865	2986	R
Hchr1	chr6	126	120	115	5.13800861844521e-229	7.09045189345439e-227	S	gene-HOLleu_04607	100488666	125	Lytvar_LOC121416865	3823554	2983	R
Hchr10	chr13	155	241	1	0.995654408862098	1	NS	gene-HOLleu_22405	46324344	3439	Lytvar_LOC121426279	8093906	5150	A2
Hchr10	chr8	155	161	154	3.8205493818605e-305	5.27235814696748e-303	S	gene-HOLleu_20875	1351573	3330	Lytvar_LOC121420382	32802134	3829	A2
Hchr10	chr8	155	161	154	3.8205493818605e-305	5.27235814696748e-303	S	gene-HOLleu_20883	1604208	3331	Lytvar_LOC121420380	32694231	3828	A2
Hchr10	chr8	155	161	154	3.8205493818605e-305	5.27235814696748e-303	S	gene-HOLleu_20898	2164422	3332	Lytvar_LOC121420533	41878943	3869	A2
Hchr10	chr8	155	161	154	3.8205493818605e-305	5.27235814696748e-303	S	gene-HOLleu_20940	3543644	3333	Lytvar_LOC121420077	17467472	3751	A2
Hchr10	chr8	155	161	154	3.8205493818605e-305	5.27235814696748e-303	S	gene-HOLleu_20944	3655632	3334	Lytvar_LOC121420180	23035566	3781	A2
