chr	median_log2	p	effsize_r	p_adj
MgF_Chr4	-0.049509466588471045	0	0.05636157464325139	0
MgF_Chr19	0.02770241665735351	5.208375454438909e-13	0.024506902181384925	5.4687942271608544e-12
MgF_Chr21	-0.010953071276479428	6.131380942964171e-7	0.016947832388376802	4.2919666600749196e-6
MgF_Chr17	0.01163152030384516	1.2258427710498692e-4	0.013031163110999833	6.435674548011814e-4
MgF_Chr8	0.007454564063581784	0.001067875068431511	0.011097606355842404	0.004485075287412346
MgF_Chr11	0.00979227361791569	0.004703869601484415	0.009587021148705124	0.01646354360519545
MgF_Chr2	-0.0022017925914322753	0.04871933619716895	0.00670990161024494	0.14615800859150685
MgF_Chr6	0.005179383971268997	0.1519138331761931	0.0048516888098679755	0.39877381208750695
MgF_Chr5	-0.0011325306469387843	0.1822449162619877	0.004543960821958222	0.4187706813267094
MgF_Chr12	0.00798125811209493	0.1994146101555759	0.0043451993626101295	0.4187706813267094
MgF_Chr7	0.002955414126617802	0.22044974744760415	0.004147537756674269	0.4208586087636079
MgF_Chr18	0.008028170626824968	0.24930094547870865	0.0039000772039246502	0.4362766545877401
MgF_Chr1	0.0014786553728988823	0.30570671960516904	0.003459009404528469	0.4938339316698885
MgF_Chr3	0.0047720641935891685	0.43184515295666553	0.0028231952225774007	0.5514757408031555
MgF_Chr20	-2.4015016032036496e-4	0.40714505184567423	0.002804295049994776	0.5514757408031555
MgF_Chr16	0.0036683715303421085	0.44414702274059786	0.0025875836476296366	0.5514757408031555
MgF_Chr9	0.009241512412765085	0.44643274255493537	0.0025728002848782717	0.5514757408031555
MgF_Chr13	0.0033283825361466912	0.8438571879865746	7.838173474733379e-4	0.9567789516448623
MgF_Chr15	3.9488443264397e-4	0.9124078459775383	3.617326981840829e-4	0.9567789516448623
MgF_Chr14	0.0033922547199794818	0.932406157166352	3.0106958959213407e-4	0.9567789516448623
MgF_Chr10	NA	0.9567789516448623	1.7093140916120024e-4	0.9567789516448623
