s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LOC575020	28769512	spur5_scaffold_6	402	PL09352	79926809	Scaffold_174	829	A
LOC100889410	26273	spur5_scaffold_6	0	PL05646	66203	Scaffold_2100	830	L
LOC100892829	194944	spur5_scaffold_6	1	PL07546	259936	Scaffold_2100	831	C2
LOC590595	247422	spur5_scaffold_6	2	PL07614	311558	Scaffold_2100	832	L
LOC580371	316028	spur5_scaffold_6	3	PL06824	370067	Scaffold_2100	833	B2
LOC580253	464296	spur5_scaffold_6	4	PL06863	482140	Scaffold_2100	834	E
LOC580128	526038	spur5_scaffold_6	5	PL07203	581361	Scaffold_2100	835	E
LOC577037	545218	spur5_scaffold_6	6	PL06599	602772	Scaffold_2100	836	E
LOC579833	662547	spur5_scaffold_6	7	PL05084	1187496	Scaffold_2100	840	
LOC100888387	669592	spur5_scaffold_6	8	PL06494	1199488	Scaffold_2100	841	
LOC100893273	726117	spur5_scaffold_6	9	PL07828	1231344	Scaffold_2100	842	M
LOC100893430	749690	spur5_scaffold_6	10	PL06007	1266218	Scaffold_2100	843	
LOC579510	793278	spur5_scaffold_6	11	PL04936	1306624	Scaffold_2100	844	E
LOC762765	879462	spur5_scaffold_6	12	PL05419	1426619	Scaffold_2100	845	
LOC100893717	890748	spur5_scaffold_6	13	PL05060	771900	Scaffold_2100	839	
LOC100893986	899631	spur5_scaffold_6	14	PL06749	754005	Scaffold_2100	838	F
LOC764057	907518	spur5_scaffold_6	15	PL07670	733347	Scaffold_2100	837	E
LOC575557	947018	spur5_scaffold_6	16	PL05259	66449055	Scaffold_2100	1554	B2
LOC575490	965911	spur5_scaffold_6	17	PL05570	66475183	Scaffold_2100	1555	
LOC763576	1641319	spur5_scaffold_6	18	PL04910	67341795	Scaffold_2100	1556	
LOC577743	1708508	spur5_scaffold_6	19	PL05644	67406698	Scaffold_2100	1557	E
LOC763611	1721488	spur5_scaffold_6	20	PL05327	67422795	Scaffold_2100	1558	
LOC588015	1741651	spur5_scaffold_6	21	PL06349	67432013	Scaffold_2100	1559	
LOC577803	1751129	spur5_scaffold_6	22	PL05421	67441152	Scaffold_2100	1560	
LOC577941	1801223	spur5_scaffold_6	23	PL06452	67535216	Scaffold_2100	1561	
LOC578013	1811569	spur5_scaffold_6	24	PL04773	10460251	Scaffold_2100	960	B2
LOC578087	1833528	spur5_scaffold_6	25	PL04841	10473356	Scaffold_2100	961	
LOC578138	1842175	spur5_scaffold_6	26	PL05351	10495989	Scaffold_2100	962	B2
LOC100889554	1856262	spur5_scaffold_6	27	PL07000	10514815	Scaffold_2100	963	B2
LOC578344	1978338	spur5_scaffold_6	28	PL05801	10687285	Scaffold_2100	964	
LOC100887880	1998156	spur5_scaffold_6	29	PL05488	10715385	Scaffold_2100	965	C2
LOC578412	2016245	spur5_scaffold_6	30	PL05387	10757411	Scaffold_2100	966	I
LOC578471	2059923	spur5_scaffold_6	31	PL06761	46865509	Scaffold_2100	1314	B2
LOC578539	2106587	spur5_scaffold_6	32	PL07287	46789177	Scaffold_2100	1313	C2
LOC757247	2203484	spur5_scaffold_6	33	PL05413	46654490	Scaffold_2100	1312	
LOC548615	2343302	spur5_scaffold_6	34	PL04774	46452677	Scaffold_2100	1311	
LOC579780	2392321	spur5_scaffold_6	35	PL06400	7963216	Scaffold_2100	947	
LOC764317	2428621	spur5_scaffold_6	36	PL07435	7941523	Scaffold_2100	946	B1
LOC592479	2437328	spur5_scaffold_6	37	PL05800	7929676	Scaffold_2100	945	
LOC592456	2445962	spur5_scaffold_6	38	PL05148	7910315	Scaffold_2100	944	B2
Nfe2	2709578	spur5_scaffold_6	39	PL07453	7732690	Scaffold_2100	943	
LOC574640	2724375	spur5_scaffold_6	40	PL06894	7679832	Scaffold_2100	942	B2
LOC100889145	2796982	spur5_scaffold_6	41	PL05451	7600418	Scaffold_2100	941	
LOC575032	2805733	spur5_scaffold_6	42	PL05310	7583983	Scaffold_2100	940	E
LOC100889062	2821310	spur5_scaffold_6	43	PL07169	7511615	Scaffold_2100	939	
LOC577649	2884260	spur5_scaffold_6	44	PL06426	7464374	Scaffold_2100	938	E
LOC575561	2901951	spur5_scaffold_6	45	PL07113	7419789	Scaffold_2100	937	E
LOC100887851	2981233	spur5_scaffold_6	46	PL05876	39882024	Scaffold_2100	1258	
LOC100890290	3017399	spur5_scaffold_6	47	PL05738	39849396	Scaffold_2100	1257	
LOC586471	3082010	spur5_scaffold_6	48	PL06449	39734381	Scaffold_2100	1256	B2
LOC592592	3199892	spur5_scaffold_6	49	PL04817	39557522	Scaffold_2100	1255	E
LOC373404	3235951	spur5_scaffold_6	50	PL05104	39539170	Scaffold_2100	1254	E
LOC586173	3264287	spur5_scaffold_6	51	PL07783	62436434	Scaffold_2100	1509	C2
LOC586198	3292907	spur5_scaffold_6	52	PL04942	62404404	Scaffold_2100	1508	C2
hh	3341494	spur5_scaffold_6	53	PL07056	62325941	Scaffold_2100	1507	
LOC754820	3373321	spur5_scaffold_6	54	PL05849	62300163	Scaffold_2100	1506	B2
LOC763365	3405711	spur5_scaffold_6	55	PL06819	62231536	Scaffold_2100	1505	
LOC100888145	3505665	spur5_scaffold_6	56	PL07479	62191548	Scaffold_2100	1504	C2
LOC575822	3635403	spur5_scaffold_6	58	PL05751	32468385	Scaffold_2100	1149	B2
LOC100894138	3645247	spur5_scaffold_6	59	PL05089	32461026	Scaffold_2100	1148	B2
LOC592472	3668868	spur5_scaffold_6	60	PL06643	32400127	Scaffold_2100	1147	B2
LOC591417	3794434	spur5_scaffold_6	61	PL07683	32124953	Scaffold_2100	1146	B2
LOC580506	3886827	spur5_scaffold_6	62	PL05597	32074016	Scaffold_2100	1145	
LOC580635	3914742	spur5_scaffold_6	63	PL05394	32049753	Scaffold_2100	1144	C2
LOC594039	3927160	spur5_scaffold_6	64	PL07416	32038723	Scaffold_2100	1143	
LOC594046	3937967	spur5_scaffold_6	65	PL07219	31994379	Scaffold_2100	1142	
LOC589605	3980754	spur5_scaffold_6	66	PL06741	31973144	Scaffold_2100	1141	C1
LOC589630	3999660	spur5_scaffold_6	67	PL06366	31939911	Scaffold_2100	1140	B2
LOC580131	4022766	spur5_scaffold_6	68	PL06209	31925914	Scaffold_2100	1139	B2
LOC580071	4032940	spur5_scaffold_6	69	PL07618	31878616	Scaffold_2100	1138	B2
LOC763100	4368958	spur5_scaffold_6	70	PL04981	31423098	Scaffold_2100	1137	K
LOC100894133	4400599	spur5_scaffold_6	71	PL07152	31316902	Scaffold_2100	1136	C2
