s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
LPI10303	1922561	scaffold_1	0	LOC578731	16917405	spur5_scaffold_6	165	B2+C2
LPI09330	2111804	scaffold_1	1	LOC582157	16955898	spur5_scaffold_6	166	-
LPI09049	2402836	scaffold_1	2	LOC582076	16981182	spur5_scaffold_6	167	B2+C2
LPI08701	2435882	scaffold_1	3	LOC582027	16990064	spur5_scaffold_6	168	-
LPI09105	3290769	scaffold_1	4	LOC752034	14396655	spur5_scaffold_6	147	E
LPI09808	3421157	scaffold_1	5	LOC100888029	14390451	spur5_scaffold_6	146	E
LPI08870	3431182	scaffold_1	6	LOC752081	14298688	spur5_scaffold_6	145	-
LPI09472	3692399	scaffold_1	7	LOC100888771	14183727	spur5_scaffold_6	144	E
LPI09728	3730910	scaffold_1	8	LOC585748	14162750	spur5_scaffold_6	143	E
LPI10109	3768049	scaffold_1	9	LOC577165	14128606	spur5_scaffold_6	142	E
LPI08652	3793870	scaffold_1	10	LOC577103	14114784	spur5_scaffold_6	141	E
LPI09825	3860892	scaffold_1	11	LOC100889046	14036296	spur5_scaffold_6	140	-
LPI09107	4021120	scaffold_1	12	LOC754367	13972394	spur5_scaffold_6	139	E
LPI10065	4419986	scaffold_1	13	LOC594794	13809158	spur5_scaffold_6	138	E
LPI09376	4486390	scaffold_1	14	LOC755431	13756577	spur5_scaffold_6	137	-
LPI09238	4559833	scaffold_1	15	LOC578031	13730335	spur5_scaffold_6	136	E
LPI09619	4665026	scaffold_1	16	LOC577822	13675317	spur5_scaffold_6	135	E
LPI09552	4678288	scaffold_1	17	LOC577753	13663014	spur5_scaffold_6	134	-
LPI10164	4770622	scaffold_1	18	LOC577383	13591738	spur5_scaffold_6	133	E
LPI10229	4817598	scaffold_1	19	LOC577313	13581620	spur5_scaffold_6	132	E
LPI08974	4825686	scaffold_1	20	LOC577255	13572352	spur5_scaffold_6	131	E
LPI08887	4850473	scaffold_1	21	LOC589815	13550768	spur5_scaffold_6	130	E
LPI09754	4882891	scaffold_1	22	LOC100890827	13520365	spur5_scaffold_6	129	-
LPI09452	4916155	scaffold_1	23	LOC579511	13508607	spur5_scaffold_6	128	-
LPI09867	5017144	scaffold_1	24	LOC579085	13454933	spur5_scaffold_6	127	E
