s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
Lytvar_LOC121412752	35598036	chr1	515	LPI09547	40312047	scaffold_1	803	-
Lytvar_LOC121415378	47545549	chr1	705	LPI09490	81227879	scaffold_1	1510	F
Lytvar_LOC121406035	11379746	chr1	100	LPI06647	57594410	scaffold_2	2912	-
Lytvar_LOC121430697	44203078	chr1	682	LPI05000	60921246	scaffold_2	2968	-
Lytvar_LOC121415648	49669823	chr1	726	LPI05283	8422003	scaffold_2	1730	-
Lytvar_LOC121421249	69297575	chr1	1049	LPI06039	67866644	scaffold_2	3140	-
Lytvar_LOC121411192	4806988	chr1	6	LPI16113	53340500	scaffold_3	4250	F
Lytvar_LOC121411439	4881197	chr1	7	LPI15601	53406333	scaffold_3	4252	-
Lytvar_LOC121411572	4974616	chr1	8	LPI15330	53502063	scaffold_3	4254	-
Lytvar_LOC121412948	5416439	chr1	9	LPI16270	53767311	scaffold_3	4257	F
Lytvar_LOC121413418	5609421	chr1	10	LPI15939	54071013	scaffold_3	4262	-
Lytvar_LOC121413512	5625009	chr1	11	LPI16156	54086485	scaffold_3	4263	F
Lytvar_LOC121413641	5655210	chr1	12	LPI16591	54115795	scaffold_3	4264	-
Lytvar_LOC121413733	5684086	chr1	13	LPI16321	54137281	scaffold_3	4265	-
Lytvar_LOC121414043	5806298	chr1	14	LPI16514	54378905	scaffold_3	4268	F
Lytvar_LOC121414334	5948165	chr1	15	LPI16223	54525889	scaffold_3	4269	-
Lytvar_LOC121414476	6063817	chr1	16	LPI16371	54652806	scaffold_3	4270	-
Lytvar_LOC121414569	6087327	chr1	17	LPI15777	55105552	scaffold_3	4279	-
Lytvar_LOC121414898	6268620	chr1	18	LPI15735	55048301	scaffold_3	4278	-
Lytvar_LOC121415003	6323054	chr1	19	LPI15529	54930635	scaffold_3	4277	F
Lytvar_LOC121415151	6409648	chr1	20	LPI15450	54896214	scaffold_3	4276	-
Lytvar_LOC121415227	6431961	chr1	21	LPI15583	54869054	scaffold_3	4275	-
Lytvar_LOC121415326	6452075	chr1	22	LPI15303	54834240	scaffold_3	4274	F
Lytvar_LOC121415523	6504085	chr1	23	LPI15184	54793550	scaffold_3	4273	F
Lytvar_LOC121415599	6521335	chr1	24	LPI15371	54749796	scaffold_3	4272	-
Lytvar_LOC121415739	6580285	chr1	25	LPI15837	54700860	scaffold_3	4271	F
Lytvar_LOC121416625	6922577	chr1	26	LPI16381	54212924	scaffold_3	4266	-
Lytvar_LOC121413276	7102346	chr1	27	LPI16147	54042148	scaffold_3	4261	-
Lytvar_LOC121417118	7136179	chr1	28	LPI16564	53973790	scaffold_3	4260	F
Lytvar_LOC121417201	7161113	chr1	29	LPI16585	53937603	scaffold_3	4259	-
Lytvar_LOC121417287	7218468	chr1	30	LPI16031	53898322	scaffold_3	4258	F
Lytvar_LOC121417658	7413858	chr1	31	LPI16645	53744157	scaffold_3	4256	-
Lytvar_LOC121417809	7431362	chr1	32	LPI16414	53705992	scaffold_3	4255	-
Lytvar_LOC121418226	7740408	chr1	33	LPI15199	53452437	scaffold_3	4253	-
Lytvar_LOC121418533	7826182	chr1	34	LPI15302	53393611	scaffold_3	4251	-
Lytvar_LOC121418768	7915275	chr1	35	LPI16446	53296918	scaffold_3	4249	F
Lytvar_LOC121418829	8045719	chr1	36	LPI16000	53201391	scaffold_3	4248	-
Lytvar_LOC121418587	8579254	chr1	37	LPI16660	52751399	scaffold_3	4247	-
Lytvar_LOC121419343	8648778	chr1	38	LPI16268	52661727	scaffold_3	4246	-
Lytvar_LOC121419421	8744924	chr1	39	LPI15606	52495869	scaffold_3	4245	F
Lytvar_LOC121419827	8860633	chr1	40	LPI15306	52404362	scaffold_3	4244	F
Lytvar_LOC121420201	8936565	chr1	41	LPI15701	52369343	scaffold_3	4243	F
