HOLleu_40989	MGLB19768
HOLleu_41130	MGLB19853
HOLleu_41171	MGLB19638
HOLleu_41210	MGLB19398
HOLleu_41336	MGLB19815
HOLleu_41792	MGLB20049
HOLleu_41888	MGLB19228
HOLleu_39735	MGLB19247
HOLleu_39864	MGLB19783
HOLleu_39905	MGLB19475
HOLleu_39941	MGLB19780
HOLleu_39982	MGLB19536
HOLleu_40019	MGLB19511
HOLleu_40101	MGLB19885
HOLleu_40184	MGLB19823
HOLleu_40465	MGLB19574
HOLleu_40505	MGLB19474
HOLleu_40720	MGLB19236
HOLleu_40795	MGLB00302
HOLleu_40920	MGLB19861
HOLleu_38532	MGLB18626
HOLleu_38757	MGLB18913
HOLleu_38992	MGLB18844
HOLleu_37222	MGLB10554
HOLleu_37423	MGLB10729
HOLleu_37720	MGLB10627
HOLleu_37795	MGLB16526
HOLleu_37918	MGLB10793
HOLleu_37959	MGLB10606
HOLleu_38168	MGLB10814
HOLleu_35649	MGLB17955
HOLleu_36127	MGLB17000
HOLleu_36294	MGLB01332
HOLleu_36370	MGLB17595
HOLleu_36496	MGLB17774
HOLleu_36618	MGLB17644
HOLleu_36661	MGLB18009
HOLleu_34266	MGLB15829
HOLleu_34301	MGLB15405
HOLleu_34461	MGLB19637
HOLleu_34616	MGLB15507
HOLleu_34709	MGLB15311
HOLleu_34793	MGLB15334
HOLleu_34837	MGLB15321
HOLleu_35049	MGLB07163
HOLleu_35089	MGLB15218
HOLleu_35506	MGLB15824
HOLleu_32937	MGLB04794
HOLleu_32973	MGLB04461
HOLleu_33061	MGLB04663
HOLleu_33099	MGLB04503
HOLleu_33141	MGLB04948
HOLleu_33179	MGLB13160
HOLleu_33265	MGLB04971
HOLleu_33466	MGLB00032
HOLleu_33643	MGLB04234
HOLleu_33681	MGLB02268
HOLleu_33837	MGLB04541
HOLleu_33883	MGLB04919
HOLleu_34016	MGLB04105
HOLleu_34173	MGLB10140
HOLleu_34210	MGLB04471
HOLleu_31452	MGLB17605
HOLleu_31577	MGLB02105
HOLleu_31700	MGLB01569
HOLleu_31742	MGLB01670
HOLleu_31782	MGLB02121
HOLleu_31819	MGLB02267
HOLleu_31899	MGLB01955
HOLleu_32169	MGLB01995
HOLleu_32387	MGLB02472
HOLleu_32423	MGLB02182
HOLleu_32663	MGLB02245
HOLleu_29929	MGLB02695
HOLleu_30098	MGLB03158
HOLleu_30137	MGLB03043
HOLleu_30213	MGLB03202
HOLleu_30343	MGLB03225
HOLleu_30379	MGLB02557
HOLleu_30425	MGLB03305
HOLleu_30465	MGLB03159
HOLleu_30504	MGLB00422
HOLleu_30540	MGLB03320
HOLleu_30695	MGLB02506
HOLleu_30747	MGLB03123
HOLleu_30879	MGLB17985
HOLleu_30921	MGLB03091
HOLleu_30960	MGLB03007
HOLleu_31119	MGLB02852
HOLleu_31165	MGLB02546
HOLleu_28131	MGLB06144
HOLleu_28169	MGLB11304
HOLleu_28285	MGLB06376
HOLleu_28382	MGLB11801
HOLleu_28771	MGLB06321
HOLleu_28931	MGLB00973
HOLleu_29018	MGLB06832
HOLleu_29056	MGLB08445
HOLleu_29301	MGLB05914
HOLleu_29384	MGLB05848
HOLleu_29518	MGLB06567
HOLleu_29601	MGLB06252
HOLleu_29639	MGLB19657
HOLleu_26490	MGLB15061
HOLleu_26526	MGLB14707
HOLleu_26618	MGLB14927
HOLleu_26883	MGLB14662
HOLleu_26957	MGLB15004
HOLleu_27270	MGLB14694
HOLleu_27318	MGLB15086
HOLleu_27363	MGLB15130
HOLleu_27476	MGLB14592
HOLleu_27657	MGLB14906
HOLleu_27699	MGLB14441
HOLleu_27741	MGLB08281
HOLleu_27831	MGLB14469
HOLleu_24669	MGLB03262
HOLleu_24968	MGLB05294
HOLleu_25499	MGLB05339
HOLleu_25672	MGLB05440
HOLleu_25712	MGLB05669
HOLleu_25793	MGLB05662
HOLleu_26039	MGLB05219
HOLleu_26079	MGLB05490
HOLleu_26193	MGLB05620
HOLleu_22834	MGLB09872
HOLleu_22873	MGLB09812
HOLleu_22957	MGLB09612
HOLleu_23041	MGLB09503
HOLleu_23618	MGLB09987
HOLleu_23781	MGLB15383
HOLleu_23920	MGLB09162
HOLleu_24325	MGLB08129
