s1chr	s2chr	s1tot	s2tot	n	fishp	padj	scol	s1g	s1gp	s1gi	s2g	s2gp	s2gi	clg
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10303	1922561	0	LOC578731	16917405	165	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09330	2111804	1	LOC582157	16955898	166	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09049	2402836	2	LOC582076	16981182	167	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08701	2435882	3	LOC582027	16990064	168	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09105	3290769	4	LOC752034	14396655	147	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09808	3421157	5	LOC100888029	14390451	146	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08870	3431182	6	LOC752081	14298688	145	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09472	3692399	7	LOC100888771	14183727	144	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09728	3730910	8	LOC585748	14162750	143	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10109	3768049	9	LOC577165	14128606	142	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08652	3793870	10	LOC577103	14114784	141	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09825	3860892	11	LOC100889046	14036296	140	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09107	4021120	12	LOC754367	13972394	139	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10065	4419986	13	LOC594794	13809158	138	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09376	4486390	14	LOC755431	13756577	137	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09238	4559833	15	LOC578031	13730335	136	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09619	4665026	16	LOC577822	13675317	135	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09552	4678288	17	LOC577753	13663014	134	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10164	4770622	18	LOC577383	13591738	133	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10229	4817598	19	LOC577313	13581620	132	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08974	4825686	20	LOC577255	13572352	131	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08887	4850473	21	LOC589815	13550768	130	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09754	4882891	22	LOC100890827	13520365	129	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09452	4916155	23	LOC579511	13508607	128	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09867	5017144	24	LOC579085	13454933	127	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08691	5073150	25	LOC578258	13417513	126	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09189	5893885	26	LOC115918165	12211426	124	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08845	6116756	27	LOC115918265	12691448	125	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09225	6641981	28	LOC100889410	26273	0	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10354	6675209	29	LOC576167	10443276	111	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09989	6705666	30	LOC577108	10464527	112	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09093	6816975	31	LOC577170	10552973	113	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10495	6869027	32	LOC105446492	10589108	114	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08594	6894185	33	LOC577357	10603158	115	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10382	6913769	34	LOC764571	10641258	116	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09192	6963018	35	LOC575808	10684559	117	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08492	6981933	36	LOC577613	10697275	118	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08916	7064106	37	LOC577732	10773923	119	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10113	7139281	38	LOC100891631	10837307	120	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10239	7221459	39	LOC579674	10906698	121	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09631	7294082	40	LOC594510	10967518	122	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09763	7794579	41	LOC575693	11414085	123	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09500	8285843	42	LOC576650	52151443	426	P
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09853	9446199	43	LOC590530	23402985	230	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09124	9457025	44	LOC755564	23374815	229	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08491	9491089	45	LOC577033	23355118	228	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09247	10220742	46	LOC100890679	21106344	208	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10377	10370192	47	LOC577746	21079542	207	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08482	10550896	48	LOC585085	21006382	206	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09164	10732346	49	LOC752904	19574278	191	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10431	10797611	50	LOC100893535	19585421	192	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09935	11094955	51	LOC581552	19828862	193	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08971	11366814	52	LOC373240	20061316	194	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10230	11421634	53	LOC584519	20100851	195	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09781	11623101	54	LOC590445	20240322	196	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10468	11667395	55	LOC414054	20280612	197	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08659	11779075	56	LOC577218	20814060	203	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10318	12162681	57	LOC591096	20425258	200	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10419	12234115	58	LOC105441547	20463662	201	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10047	12339089	59	LOC582417	20535160	202	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09258	12444548	60	LOC100889137	20401272	199	K
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08846	12469082	61	LOC582318	20354873	198	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09503	12524910	62	LOC581567	20826317	204	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09521	12537598	63	LOC584846	20834885	205	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10510	12939278	64	LOC100890104	19070327	187	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09847	12968135	65	LOC764878	21452509	209	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09851	13253435	66	LOC577677	1659082	9	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10180	13358888	67	LOC588015	1741651	10	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10073	13368525	68	LOC577803	1751129	11	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08886	13429675	69	LOC578013	1811569	12	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09265	13456658	70	LOC578087	1833528	13	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10163	13525701	71	LOC578138	1842175	14	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10361	13541218	72	LOC100889554	1856262	15	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09155	13640306	73	LOC578344	1978338	16	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10452	13668452	74	LOC100887880	1998156	17	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09537	13755187	75	LOC575557	947018	8	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10297	13912852	76	LOC582488	15816690	164	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09819	14027331	77	LOC582523	15790920	163	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08654	14079093	78	LOC576833	15763695	162	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10197	14113571	79	LOC576891	15735586	161	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08857	14260244	80	LOC753187	15352118	160	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09327	14600934	81	LOC105437431	15304519	159	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09550	14702665	82	LOC581921	15264726	158	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09480	14714973	83	LOC756234	15225865	157	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09022	14782449	84	LOC581936	15196756	156	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09903	14975824	85	LOC588193	15054496	155	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08516	15148981	86	LOC588618	14987730	154	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10530	15183465	87	LOC588533	14954035	153	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08646	15207330	88	LOC580713	14922319	152	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08560	15294441	89	LOC580655	14872031	151	B2+C2
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08737	15456168	90	LOC589723	14682388	150	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09453	15481353	91	LOC580091	14651960	149	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09515	15495944	92	LOC763537	14635158	148	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08888	15528801	93	LOC100888387	669592	6	-
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09278	15564564	94	LOC100893273	726117	7	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09622	16142134	95	LOC577037	545218	5	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI10139	16173892	96	LOC580128	526038	4	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI08893	16290342	97	LOC580253	464296	3	E
scaffold_1	spur5_scaffold_6	486	489	486	0	0	S	LPI09054	16618806	98	LOC590595	247422	1	B2+C2
